"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",71035,"Weddell",0.51,0.56,0.66,0.78,0.84,1
"2010-2014",39,"Prostate",1,"Males",71036,"Bakewell",0.52,0.57,0.69,0.83,0.92,0.987
"2010-2014",39,"Prostate",1,"Males",71037,"Driver",0.51,0.57,0.69,0.82,0.91,0.993
"2010-2014",39,"Prostate",1,"Males",71038,"Durack - Marlow Lagoon",0.53,0.58,0.68,0.8,0.87,0.997
"2010-2014",39,"Prostate",1,"Males",71039,"Gray",0.5,0.56,0.68,0.84,0.93,0.987
"2010-2014",39,"Prostate",1,"Males",71040,"Moulden",0.52,0.58,0.69,0.83,0.92,0.989
"2010-2014",39,"Prostate",1,"Males",71041,"Palmerston - North",0.55,0.6,0.71,0.84,0.92,0.989
"2010-2014",39,"Prostate",1,"Males",71042,"Palmerston - South",0.54,0.59,0.69,0.81,0.88,0.997
"2010-2014",39,"Prostate",1,"Males",71043,"Rosebery - Bellamack",0.5,0.56,0.68,0.83,0.93,0.986
"2010-2014",39,"Prostate",1,"Males",71044,"Woodroffe",0.49,0.54,0.66,0.79,0.88,0.996
"2010-2014",39,"Prostate",1,"Males",71045,"Charles",0.45,0.49,0.6,0.72,0.8,1
"2010-2014",39,"Prostate",1,"Males",71046,"East Side",0.42,0.46,0.56,0.67,0.73,1
"2010-2014",39,"Prostate",1,"Males",71047,"Flynn (NT)",0.42,0.46,0.55,0.66,0.72,1
"2010-2014",39,"Prostate",1,"Males",71048,"Larapinta",0.44,0.48,0.58,0.7,0.78,1
"2010-2014",39,"Prostate",1,"Males",71049,"Mount Johns",0.43,0.47,0.57,0.68,0.74,1
"2010-2014",39,"Prostate",1,"Males",71050,"Petermann - Simpson",0.58,0.62,0.71,0.82,0.89,0.997
"2010-2014",39,"Prostate",1,"Males",71051,"Ross",0.37,0.42,0.51,0.63,0.7,1
"2010-2014",39,"Prostate",1,"Males",71052,"Sandover - Plenty",0.49,0.52,0.6,0.68,0.73,1
"2010-2014",39,"Prostate",1,"Males",71053,"Tanami",0.51,0.54,0.62,0.71,0.76,1
"2010-2014",39,"Prostate",1,"Males",71054,"Yuendumu - Anmatjere",0.44,0.48,0.59,0.72,0.79,1
"2010-2014",39,"Prostate",1,"Males",71055,"Barkly",0.5,0.54,0.61,0.68,0.73,1
"2010-2014",39,"Prostate",1,"Males",71056,"Tennant Creek",0.3,0.36,0.48,0.63,0.72,0.999
"2010-2014",39,"Prostate",1,"Males",71057,"Alligator",0.46,0.5,0.58,0.68,0.74,1
"2010-2014",39,"Prostate",1,"Males",71058,"Daly",0.43,0.48,0.57,0.68,0.75,1
"2010-2014",39,"Prostate",1,"Males",71059,"Thamarrurr",0.34,0.4,0.56,0.78,0.93,0.977
"2010-2014",39,"Prostate",1,"Males",71060,"Tiwi Islands",0.38,0.45,0.62,0.84,0.99,0.956
"2010-2014",39,"Prostate",1,"Males",71061,"West Arnhem",0.4,0.45,0.55,0.68,0.75,1
"2010-2014",39,"Prostate",1,"Males",71062,"Anindilyakwa",0.38,0.46,0.63,0.86,1.01,0.947
