Width,Height,Count
1707,827,17
980,1800,17
1682,1035,17
2335,979,17
2453,1251,17
1100,1155,17
1163,690,17
1306,627,17
486,917,17
520,1064,17
396,790,17
1512,650,17
1024,1290,17
2137,1204,17
412,702,17
375,711,17
390,644,17
388,726,17
980,1663,17
1600,1212,17
1807,1005,17
1512,810,17
1112,719,17
1636,944,17
1836,935,17
384,683,17
1434,794,17
1514,1266,17
1440,890,17
2560,1361,17
384,748,17
1416,855,17
1747,-2000,17
1608,1005,17
414,620,17
3119,1297,17
1969,1323,17
414,762,17
1298,644,17
1027,921,17
1708,1083,17
412,708,17
486,996,17
1264,732,17
756,865,17
2560,2017,17
1636,863,17
1103,780,17
1366,643,17
375,657,17
1487,1012,17
1580,981,17
393,646,17
2039,1290,17
1728,1001,17
904,336,17
1482,842,17
473,871,17
1920,943,17
1920,950,17
1429,769,17
390,667,17
408,791,17
353,638,17
842,899,17
1458,1100,17
1420,777,17
384,756,17
378,745,17
558,1042,17
1850,1051,17
667,327,17
1060,1064,17
384,733,17
1626,926,17
396,663,17
1634,1035,17
1192,587,17
432,849,17
1920,875,17
2048,1331,17
1678,959,17
412,835,17
1680,1215,17
486,890,17
1698,899,17
1446,1363,17
1264,573,17
2345,1289,17
834,1037,17
1280,662,17
500,768,17
393,695,17
393,764,17
2172,1277,17
1025,1068,17
1222,970,17
2560,1211,17
2556,1471,17
572,1113,17
744,1031,17
400,721,17
1910,939,17
396,725,17
1755,867,17
360,611,17
412,716,17
2240,1157,17
672,280,17
743,928,17
393,784,17
1184,880,17
2326,1185,17
1133,885,17
1536,703,17
1536,760,17
480,909,17
1024,632,17
428,744,17
832,292,16
992,373,16
574,233,16
717,273,16
3424,1286,16
1680,973,16
3360,1688,16
375,710,16
360,703,16
1720,1302,16
1440,764,16
1710,503,15
720,245,15
678,259,15
3440,1242,15
851,302,15
3440,1226,15
810,977,15
2560,1301,13
1512,859,12
1885,920,12
2560,1229,12
396,701,12
360,686,12
1536,754,12
1728,972,12
378,718,12
428,816,12
1920,1062,12
1728,999,12
1439,820,12
1148,880,12
1366,657,12
1120,663,12
1536,817,12
412,344,12
1920,1001,12
750,304,12
1728,885,12
375,693,12
412,747,12
360,696,12
384,782,12
360,760,11
753,265,11
412,791,11
430,743,11
3838,2043,11
1440,803,11
375,658,11
412,726,11
750,1270,11
360,708,11
360,710,11
1536,799,11
667,323,11
360,661,11
1180,741,11
1440,691,11
341,627,11
320,454,9
800,983,8
1540,759,8
2048,1019,8
691,654,8
695,714,8
1609,1185,8
1235,612,8
2525,1345,8
1024,1259,8
782,770,8
1935,1057,8
1872,1057,8
1920,1005,8
1792,992,8
1443,873,8
1163,890,8
1494,819,8
1377,1304,8
418,930,8
2560,1315,8
980,1581,8
349,653,8
1406,1173,8
1440,697,8
1280,1068,8
3440,1304,8
1953,1131,8
1536,763,8
1731,1336,8
1512,792,8
1565,923,8
1440,1000,8
360,604,8
1728,995,8
1414,812,8
412,730,8
898,308,8
2135,1291,8
1518,1125,8
1280,695,8
1052,911,8
2004,1388,8
412,666,8
1024,1298,8
1193,679,8
1550,902,8
376,708,8
390,606,8
2157,1421,8
2560,1252,8
1176,896,8
414,751,8
1000,377,8
1512,871,8
1787,1064,8
350,274,8
668,763,8
1762,1686,8
1280,1336,8
432,840,8
1846,948,8
432,815,8
2849,1686,8
360,636,8
412,772,8
1361,992,8
375,642,8
1512,1157,8
1877,1027,8
1792,1016,8
1504,1546,8
1024,665,8
2407,1651,8
1864,968,8
1280,1233,8
1301,791,8
1664,2074,8
1676,935,8
1024,452,8
1389,902,8
3392,1361,8
1279,1267,8
384,670,8
412,922,8
1885,1434,8
2016,1251,8
1800,1046,8
1721,1828,8
1262,1018,8
2560,1279,8
1189,1249,8
1105,472,8
1317,668,8
1523,1395,8
408,803,8
750,303,8
970,802,8
506,1274,8
1224,2257,8
1562,1012,8
320,719,8
952,968,8
1080,708,8
1488,945,8
412,738,8
1865,929,8
1741,1115,8
236,480,8
667,356,8
393,712,8
2260,963,8
500,914,8
1449,912,8
1036,989,8
664,1064,8
598,280,8
1245,862,8
428,820,8
377,709,8
2048,1009,8
1600,815,8
1239,999,8
744,1006,8
1168,861,8
2056,1087,8
1133,672,8
378,739,8
1368,959,8
1448,931,8
424,424,8
1331,806,8
360,719,8
1240,941,8
1366,669,8
412,530,8
1260,739,8
2531,1790,8
1800,937,8
1200,734,8
360,607,8
958,1031,8
1878,971,8
1913,971,8
1024,1268,8
412,788,8
2324,1211,8
396,741,8
928,441,8
408,805,8
438,773,8
834,1084,8
1024,625,8
1910,960,8
1496,815,8
1188,915,8
2031,1246,8
320,464,8
748,676,8
1533,900,8
585,678,8
412,727,8
1728,910,8
1131,1000,8
2479,1207,8
375,535,8
2797,1291,8
822,959,8
1512,812,8
1157,855,8
1469,869,8
343,674,8
809,332,8
490,1040,8
1680,875,8
479,903,8
1080,1229,8
1391,859,8
393,803,8
375,912,8
2056,1142,8
712,1161,8
1405,728,8
1146,976,8
1138,1055,8
1708,986,8
376,602,8
2006,1582,8
811,598,8
393,729,8
375,646,8
1280,577,8
412,805,8
1707,1496,8
320,300,8
864,882,8
500,1336,8
414,861,8
629,1064,8
2540,1395,8
393,759,8
1920,1009,8
500,300,8
674,664,8
1830,1416,8
1513,841,8
1738,1354,8
795,741,8
1457,695,8
1613,849,8
1440,788,8
768,956,8
1440,1005,8
500,709,8
744,1054,8
2467,1327,8
412,858,8
1274,925,8
1922,929,8
1728,821,8
734,337,8
1728,1027,8
414,863,8
393,682,8
2560,955,8
450,821,8
1491,896,8
1140,758,8
1512,795,8
722,480,8
1644,1054,8
320,720,8
1512,816,8
1920,1454,8
1420,806,8
384,762,8
2906,1331,8
1747,852,8
2176,1064,8
1250,963,8
1290,1229,8
1791,1916,8
349,635,8
3360,1786,8
432,744,8
1710,963,8
1368,935,8
500,677,8
1360,624,8
390,624,8
1431,847,8
5080,2020,8
1280,828,8
1850,1213,8
412,709,8
1043,587,8
1440,712,8
5130,2889,8
717,465,8
1435,910,8
2548,1332,8
462,783,8
1129,1336,8
1280,1333,8
1440,696,8
393,783,8
272,409,8
384,743,8
412,712,8
1280,667,8
1435,1094,8
1680,1754,8
1536,810,8
388,677,8
1918,967,8
428,738,8
360,659,8
396,659,8
384,702,8
830,319,7
714,276,7
412,832,7
412,759,7
390,640,7
1728,964,7
427,770,7
1536,722,7
863,304,7
808,331,7
408,774,7
414,815,7
1547,1069,7
820,1073,7
1234,741,7
786,304,6
3200,1212,6
1492,254,6
3440,1222,6
800,267,6
980,1749,6
388,722,6
358,681,6
